Canteen,Pixel,Stall,Cuisine,Halal,Veg,Food,Price,Opening ,Precinct,Address,Phone,Distance,Signature food,,Seat Capacity,Rating
Ananda Kitchen,,Ananda Kitchen ,Indian,Y,Y,Sweet Corn Veg Soup,3,"Mon to Sun: 12 pm to 10.30 pm
PH: Opened",North Hill Precinct,"60 Nanyang Crescent Blk
 19A #01-02 Singapore 636957",,0, Fish Finger,,90,3
Ananda Kitchen,,Ananda Kitchen ,Indian,Y,N,Hot and Sour Chicken Soup,4.5,"Mon to Sun: 12 pm to 10.30 pm
PH: Opened",North Hill Precinct,"60 Nanyang Crescent Blk
 19A #01-02 Singapore 636957",,0, Fish Finger,,90,3
Ananda Kitchen,,Ananda Kitchen ,Indian,Y,N, Fish Finger,4.2,"Mon to Sun: 12 pm to 10.30 pm
PH: Opened",North Hill Precinct,"60 Nanyang Crescent Blk
 19A #01-02 Singapore 636957",,0, Fish Finger,,90,3
Ananda Kitchen,,Ananda Kitchen ,Indian,Y,N,"Tandoori Chicken,",4.5,"Mon to Sun: 12 pm to 10.30 pm
PH: Opened",North Hill Precinct,"60 Nanyang Crescent Blk
 19A #01-02 Singapore 636957",,0, Fish Finger,,90,3
Ananda Kitchen,,Ananda Kitchen ,Indian,Y,N,Chicken Fried Rice,4,"Mon to Sun: 12 pm to 10.30 pm
PH: Opened",North Hill Precinct,"60 Nanyang Crescent Blk
 19A #01-02 Singapore 636957",,0, Fish Finger,,90,3
Ananda Kitchen,,Ananda Kitchen ,Indian,Y,N,Butter Chicken Masala,4.8,"Mon to Sun: 12 pm to 10.30 pm
PH: Opened",North Hill Precinct,"60 Nanyang Crescent Blk
 19A #01-02 Singapore 636957",,0, Fish Finger,,90,3
Ananda Kitchen,,Ananda Kitchen ,Indian,Y,N,Cheese Naan,3.5,"Mon to Sun: 12 pm to 10.30 pm
PH: Opened",North Hill Precinct,"60 Nanyang Crescent Blk
 19A #01-02 Singapore 636957",,0, Fish Finger,,90,3
Foodgle Food Court,,Mixed Rice,Chinese,N,N,Mixed rice : 1 Meat + 1 Veg + Rice,2.6,"Mon to Sun: 7 am to 9 pm 
PH: Opened",Nanyang Crescent,"38 Nanyang Crescent Blk 23, #051 - 058 
Singapore 636866",8296 3633,0,Lemon Chicken Rice,,440,3.2
Foodgle Food Court,,Mixed Rice,Chinese,N,N,Mixed rice: 1 Meat + 2 Veg + Rice,3.5,"Mon to Sun: 7 am to 9 pm 
PH: Opened",Nanyang Crescent,"38 Nanyang Crescent Blk 23, #051 - 058 
Singapore 636866",8296 3633,0,Lemon Chicken Rice,,440,3.2
Foodgle Food Court,,Mixed Rice,Chinese,N,N,Mixed rice : 2 Veg + Rice,2,"Mon to Sun: 7 am to 9 pm 
PH: Opened",Nanyang Crescent,"38 Nanyang Crescent Blk 23, #051 - 058 
Singapore 636866",8296 3633,0,Lemon Chicken Rice,,440,3.2
Foodgle Food Court,,Chicken Rice,Chinese,N,N,Steamed Chicken Rice,3,"Mon to Sun: 7 am to 9 pm 
PH: Opened",Nanyang Crescent,"38 Nanyang Crescent Blk 23, #051 - 058 
Singapore 636866",8296 3633,0,Lemon Chicken Rice,,440,3.2
Foodgle Food Court,,Chicken Rice,Chinese,N,N,Roasted Chicken Rice,3,"Mon to Sun: 7 am to 9 pm 
PH: Opened",Nanyang Crescent,"38 Nanyang Crescent Blk 23, #051 - 058 
Singapore 636866",8296 3633,0,Lemon Chicken Rice,,440,3.2
Foodgle Food Court,,Chicken Rice,Chinese,N,N,Lemon Chicken Rice,3.2,"Mon to Sun: 7 am to 9 pm 
PH: Opened",Nanyang Crescent,"38 Nanyang Crescent Blk 23, #051 - 058 
Singapore 636866",8296 3633,0,Lemon Chicken Rice,,440,3.2
North Hill Food Court,,Mixed rice,Asian,N,N,Mixed rice : 1 Meat + 1 Veg + Rice,2.1,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Mixed rice,Asian,N,N,Mixed rice : 1 Meat + 2 Veg + Rice,2.8,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Mixed rice,Asian,N,N,Mixed rice : 2 Veg + Rice,1.8,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Noodle/Soup,Chinese,N,N,Fishball Soup (10 pcs),2.9,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Noodle/Soup,Chinese,N,N,"Teochew Fishball Minced 
Pork Noodle Dry",3,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Noodle/Soup,Chinese,N,N,"Teochew Fishball Minced 
Pork Noodle Soup",2.8,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Chicken Rice,Chinese,N,N,Roasted Chicken Rice,2.8,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Chicken Rice,Chinese,N,N,Roasted Chicken Noodle,2.5,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Chicken Rice,Chinese,N,N,Steamed Chicken Rice,2.8,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Yong Tau Foo,Chinese,Y,N,"Yong Tau Foo (5 pieces) 
with Rice/ Noodles",3,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Yong Tau Foo,Chinese,Y,N,Dumpling Soup,2.5,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Thosai,Indian,Y,N,Egg Thosai ,1.3,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Thosai,Indian,Y,N,Masala Thosai,2,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Thosai,Indian,Y,N,Masala Egg Thosai,2.5,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Carrot Cake,Chinese,N,N,White Carrot Cake,2.5,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
North Hill Food Court,,Carrot Cake,Chinese,N,N,Black Carrot Cake,2.5,"Mon to Sun: 7 am to 9 pm
PH: Closed",North Hill Precinct,"60 Nanyang Crescent Blk 21A, 02-02 Singapore 636957",8508 0232,0,Masala Egg Thosai,,440,3.6
